article_id,title,link,keywords,creator,description,content,pubDate,pubDateTZ,image_url,video_url,source_id,source_name,source_priority,source_url,source_icon,language,country,category,sentiment,sentiment_stats,ai_tag,ai_region,ai_org,ai_summary,ai_content,duplicate
64731684dbbe5e54fc9e7869c66f31eb,"Shubhanshu Shukla meets PM Modi, gifts tricolour that travelled to space",https://www.siasat.com/shubhanshu-shukla-meets-pm-modi-gifts-tricolour-that-travelled-to-space-3260394/,"['international space station (iss)', 'pm modi', 'tricolor', 'politics', 'shubhanshu shukla', 'india']",,"New Delhi: Prime Minister Narendra Modi on Monday met Group Captain Shubhanshu Shukla who became the first Indian astronaut to travel to the International Space Station (ISS). Shukla, who was part of the Axiom-4 commercial mission to the ISS from June 25-July 15, met the prime minister at his Lok Kalyan Marg residence. Modi welcomed ...Get the latest updates in Hyderabad City News, Technology, Entertainment, Sports, Politics and Top Stories on WhatsApp & Telegram by subscribing to our channels. You can also download our app for Android and iOS.",ONLY AVAILABLE IN PAID PLANS,2025-08-18 17:46:37,UTC,https://cdn.siasat.com/wp-content/uploads/2025/08/PM-Narendra-Modi-met-Shubhanshu-Shukla.jpg,,siasat,Siasat.com,30879,https://www.siasat.com,https://n.bytvi.com/siasat.png,english,['india'],['top'],ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,ONLY AVAILABLE IN PAID PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,True
d11328c074daafbc3b8a1cc696a39aab,Massive XRP Transfer: 200 Million XRP Moves from Ripple to Unknown Wallet,https://bitcoinworld.co.in/massive-xrp-transfer-2/,"['ripple', 'crypto news', 'blockchain', 'digital assets', 'xrp', 'crypto whale']",['Editorial Team'],"BitcoinWorldMassive XRP Transfer: 200 Million XRP Moves from Ripple to Unknown WalletA significant event recently captured the attention of the cryptocurrency world: a massive XRP transfer involving 200,000,000 XRP. This substantial movement, reported by Whale Alert, originated from Ripple and landed in an unknown wallet. Valued at approximately $606 million, this transaction immediately raised questions about its purpose and potential market impact within the digital asset [...]This post Massive XRP Transfer: 200 Million XRP Moves from Ripple to Unknown Wallet first appeared on BitcoinWorld and is written by Editorial Team",ONLY AVAILABLE IN PAID PLANS,2025-08-18 17:45:11,UTC,https://bitcoinworld.co.in/wp-content/uploads/massive-xrp-transfer.jpg,,bitcoinworld,Home - Bitcoinworld.co.in,194936,https://bitcoinworld.co.in,https://n.bytvi.com/bitcoinworld.jpg,english,['india'],['top'],ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,ONLY AVAILABLE IN PAID PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,False
4d656b08d5720875ae7fedd7f7e57f43,Starknet v0.14.0: A Monumental Leap for Decentralized Scaling,https://bitcoinworld.co.in/starknet-v0-14-0-launch/,"['layer 2', 'decentralization', 'crypto news', 'blockchain', 'crypto upgrade', 'starknet']",['Editorial Team'],"BitcoinWorldStarknet v0.14.0: A Monumental Leap for Decentralized ScalingThe cryptocurrency world is buzzing with anticipation! A significant development is on the horizon for Starknet users and the broader blockchain ecosystem. The highly anticipated Starknet v0.14.0 upgrade, approved by a community vote, is set to launch on the mainnet on September 1. This update promises to enhance the network’s capabilities, making it more robust, [...]This post Starknet v0.14.0: A Monumental Leap for Decentralized Scaling first appeared on BitcoinWorld and is written by Editorial Team",ONLY AVAILABLE IN PAID PLANS,2025-08-18 17:40:11,UTC,https://bitcoinworld.co.in/wp-content/uploads/starknet-v0-14-0-launch.jpg,,bitcoinworld,Home - Bitcoinworld.co.in,194936,https://bitcoinworld.co.in,https://n.bytvi.com/bitcoinworld.jpg,english,['india'],['top'],ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,ONLY AVAILABLE IN PAID PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,False
52e887e85c2b010df8a9e2f98fea81aa,"Adani says ‘No Connection’, amid HC frustration over 3,000 bigha allotment",https://www.siasat.com/adani-says-no-connection-amid-hc-frustration-over-3000-bigha-allotment-3260403/,"['politics', 'cement factory', 'assam', 'gauhati hc', 'india']",['The Siasat Daily'],"Guwahati: The Gauhati High Court has slammed the Assam government for allotting 3,000 bighas of land to a private cement factory in the state’s tribal-majority Dima Hasao district, and observed whether this is a “joke”. The court directed the North Cachar Hills District Autonomous Council’s (NCHDAC) standing counsel to obtain and place before the court ...Get the latest updates in Hyderabad City News, Technology, Entertainment, Sports, Politics and Top Stories on WhatsApp & Telegram by subscribing to our channels. You can also download our app for Android and iOS.",ONLY AVAILABLE IN PAID PLANS,2025-08-18 17:40:04,UTC,https://cdn.siasat.com/wp-content/uploads/2025/04/gauhati-high-court-april22.jpeg,,siasat,Siasat.com,30879,https://www.siasat.com,https://n.bytvi.com/siasat.png,english,['india'],['politics'],ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,ONLY AVAILABLE IN PAID PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,False
823f16543f213736f4c08b1dd61ce181,Smartwatches Drag India Wearable Market Down For Fifth Straight Quarter,https://www.ndtvprofit.com/technology/biz-wearable-shipments,"['pti', 'technology']",['PTI'],"Imagine Marketing, which sells products under the Boat brand, led the wearable market with a 28% market share, despite a 4.8% year-on-year decline in sales volume.",ONLY AVAILABLE IN PAID PLANS,2025-08-18 17:40:03,UTC,https://media.assettype.com/bloombergquint%2F2025-08-18%2Fy1rrij6w%2Fafrican-america-man-wearing-a-fitness-teacher-smar-2024-11-01-02-33-14-utc.jpg?auto=format%2Ccompress&ogImage=true&w=1200,,bloombergquint,Bq Prime,9222807,https://www.bloombergquint.com,https://n.bytvi.com/bloombergquint.png,english,['india'],['business'],ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,ONLY AVAILABLE IN PAID PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,False
c73c9b42b9a8016b110c03f435af77f2,"Dayforce, Applied Digital, GoodRx, First Solar, TeraWulf: Stocks Making The Biggest Moves Today",https://newsable.asianetnews.com/markets/dayforce-applied-digital-goodrx-first-solar-terawulf-stocks-making-the-biggest-moves-today-articleshow-27c997l,['markets'],['Stocktwits Inc'],Dayforce shares skyrocketed 26% in Monday’s midday trade after reports suggested that private equity firm Thoma Bravo is in talks to acquire the human resources firm.,ONLY AVAILABLE IN PAID PLANS,2025-08-18 17:35:03,UTC,"https://static.asianetnews.com/images/w-1280,h-720,format-jpg,imgid-external,imgname-image-ccd911cf-be4f-4151-b61c-9df1bf6a0dfd.webp",,newsable_asianetnews,Asianet Newsable,7749,https://newsable.asianetnews.com,https://n.bytvi.com/newsable_asianetnews.jpg,english,['india'],['top'],ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,ONLY AVAILABLE IN PAID PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,True
dcb970fe201c457ddc422a3c8798d9d6,"Hindustan Zinc Gets Board Nod For 10 MTPA Tailings Reprocessing Plant Worth Rs 3,823 Crore",https://www.ndtvprofit.com/business/hindustan-zinc-gets-board-nod-for-10-mtpa-tailings-reprocessing-plant-worth-rs-3823-crore,"['pti', 'business']",['PTI'],"The new unit, which is expected to be completed in 28 months, will be set up as part of Hindustan Zinc's plan to double its production capacity.",ONLY AVAILABLE IN PAID PLANS,2025-08-18 17:34:02,UTC,https://media.assettype.com/bloombergquint%2F2025-08-04%2Fhhjlha08%2FAcresofdrillcoresatthePinePointlead-zincmineNWT.jpg?auto=format%2Ccompress&ogImage=true&w=1200,,bloombergquint,Bq Prime,9222807,https://www.bloombergquint.com,https://n.bytvi.com/bloombergquint.png,english,['india'],['business'],ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,ONLY AVAILABLE IN PAID PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,False
6af50b999523482890c988bc4596f6c2,MP Mastan Rao Made Member Of 2 Parliamentary Panels,https://www.deccanchronicle.com/southern-states/andhra-pradesh/mp-mastan-rao-made-member-of-2-parliamentary-panels-1898275,"['southern states,andhra pradesh,news']",['DC Correspondent'],Mastan Rao thanked Prime Minister Narendra Modi for providing him the opportunity to serve on such crucial panels that strengthen India’s democracy: Reports,ONLY AVAILABLE IN PAID PLANS,2025-08-18 17:33:13,UTC,https://www.deccanchronicle.com/h-upload/2025/08/18/1949214-screenshot-2025-08-18-225924.webp,,deccanchronicle,Deccan Chronicle,21568,https://www.deccanchronicle.com,https://n.bytvi.com/deccanchronicle.png,english,['india'],['top'],ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,ONLY AVAILABLE IN PAID PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,False
297ea90d30a7adfc5feef22266cacdf6,Video: Rajasthan medical intern asked to remove veil for patient safety; triggers row,https://www.siasat.com/video-rajasthan-medical-intern-asked-to-remove-veil-for-patient-safety-triggers-row-3260370/,"['top stories', 'videos', 'muslim students', 'rajasthan', 'medical student', 'tonk', 'india']",['The Siasat Daily'],"A young Muslim medical intern at the Women’s Hospital (MCH) was asked by a senior female doctor to remove her veil for patient safety in Rajasthan’s Tonk district. The issue rose after the intern, whose face was allegedly covered, administered an injection to a patient. A video of the incident emerged on social media platforms. ...Get the latest updates in Hyderabad City News, Technology, Entertainment, Sports, Politics and Top Stories on WhatsApp & Telegram by subscribing to our channels. You can also download our app for Android and iOS.",ONLY AVAILABLE IN PAID PLANS,2025-08-18 17:33:10,UTC,https://cdn.siasat.com/wp-content/uploads/2025/08/Untitled-design-2025-08-18T225959.484.jpg,,siasat,Siasat.com,30879,https://www.siasat.com,https://n.bytvi.com/siasat.png,english,['india'],['top'],ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,ONLY AVAILABLE IN PAID PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,False
342bb5e145c570e195949c9ca6c32966,Trump Administration In Talks To Take A 10% Stake In Intel,https://www.ndtvprofit.com/business/trump-administration-in-talks-to-take-a-10-stake-in-intel,"['bloomberg', 'world', 'technology', 'business']",['Bloomberg News'],Intel shares dropped as much as 5.5% after Bloomberg reported on the talks Monday. They had climbed 23% last week for their best weekly gain since February.,ONLY AVAILABLE IN PAID PLANS,2025-08-18 17:32:11,UTC,https://media.assettype.com/bloombergquint%2F2025-08-18%2F9yx8191o%2F438204378.jpg?auto=format%2Ccompress&ogImage=true&w=1200,,bloombergquint,Bq Prime,9222807,https://www.bloombergquint.com,https://n.bytvi.com/bloombergquint.png,english,['india'],['business'],ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,ONLY AVAILABLE IN PAID PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,True
